의류수거함,위치
서원동-61,서울특별시 관악구 서원길 4
서원동-62,서울특별시 관악구 서원길 4 사계절 DC마트
서원동-63,서울특별시 관악구 신림로31가길 11
서원동-64,서울특별시 관악구 신림로31가길 20
서원동-65,서울특별시 관악구 신림로39길 12
서원동-66,서울특별시 관악구 신림로39길 6
서원동-67,서울특별시 관악구 신림로41길 8
서원동-68,서울특별시 관악구 신림로44가길 16
서원동-69,서울특별시 관악구 신림로44가길 22
서원동-70,서울특별시 관악구 신림로44가길 25
서원동-71,서울특별시 관악구 신림로44가길 38
서원동-72,서울특별시 관악구 신림로44가길 39
서원동-73,서울특별시 관악구 신림로44길 7
서원동-74,서울특별시 관악구 신림로44나길 26
서원동-75,서울특별시 관악구 신림로46길 8
서원동-76,서울특별시 관악구 신림로48길 18
서원동-77,서울특별시 관악구 신림로48길 40
서원동-78,서울특별시 관악구 신림로48길 54
서원동-79,서울특별시 관악구 신림로48나길 21
서원동-80,서울특별시 관악구 신림로50길 17-17
서원동-81,서울특별시 관악구 신림로54가길 10
서원동-82,서울특별시 관악구 신림로54가길 5
서원동-83,서울특별시 관악구 신림로54길 8
서원동-84,서울특별시 관악구 신림로58가길 17
서원동-85,서울특별시 관악구 신림로58가길 21
서원동-86,서울특별시 관악구 신림로58가길 7-5
서원동-87,서울특별시 관악구 신림로58길 30
서원동-88,서울특별시 관악구 신림로58길 42
서원동-89,서울특별시 관악구 신림로58길 42
서원동-90,서울특별시 관악구 신림로58길 47-6
서원동-91,서울특별시 관악구 쑥고개로3길 10
서원동-92,서울특별시 관악구 쑥고개로3길 16
서원동-93,서울특별시 관악구 쑥고개로3길 2
신사동-1,서울특별시 관악구 관천로11길 1
신사동-2,서울특별시 관악구 관천로11길 103
신사동-3,서울특별시 관악구 관천로11길 120
신사동-4,서울특별시 관악구 관천로11길 41
신사동-5,서울특별시 관악구 관천로11길 49
신사동-6,서울특별시 관악구 관천로12길 3
신사동-7,서울특별시 관악구 관천로15길 10
신사동-8,서울특별시 관악구 관천로15길 39
신사동-9,서울특별시 관악구 관천로19길 37
신사동-10,서울특별시 관악구 관천로19길 37
신사동-11,서울특별시 관악구 관천로19길 54
신사동-12,서울특별시 관악구 관천로19길 84
신사동-13,서울특별시 관악구 관천로19길 84
신사동-14,서울특별시 관악구 관천로21길 25
신사동-15,서울특별시 관악구 관천로25길 15
신사동-16,서울특별시 관악구 난곡로66길 17
신사동-17,서울특별시 관악구 난곡로75길 14
신사동-18,서울특별시 관악구 남부순환로149길 10
신사동-19,서울특별시 관악구 남부순환로149길 38
신사동-20,서울특별시 관악구 남부순환로149길 46
신사동-21,서울특별시 관악구 남부순환로149길 47
신사동-22,서울특별시 관악구 남부순환로151길 13
신사동-23,서울특별시 관악구 남부순환로151길 16
신사동-24,서울특별시 관악구 남부순환로151길 2-5
신사동-25,서울특별시 관악구 남부순환로153길 10
신사동-26,서울특별시 관악구 남부순환로153길 51
신사동-27,서울특별시 관악구 남부순환로157길 26
신사동-28,서울특별시 관악구 남부순환로161길 48
신사동-29,서울특별시 관악구 남부순환로161길 75
신사동-30,서울특별시 관악구 남부순환로161나길 32-11
신사동-31,서울특별시 관악구 남부순환로161나길 38
신사동-32,서울특별시 관악구 남부순환로163가길 17
신사동-33,서울특별시 관악구 남부순환로163가길 25
신사동-34,서울특별시 관악구 남부순환로165길 54
신사동-35,서울특별시 관악구 남부순환로167길 14
신사동-36,서울특별시 관악구 남부순환로167길 42
신사동-37,서울특별시 관악구 남부순환로167길 42
신사동-38,서울특별시 관악구 신사로20길 43
신사동-39,서울특별시 관악구 신사로20길 8-7
신사동-40,서울특별시 관악구 신사로26길 16
신사동-41,서울특별시 관악구 신사로26길 18
신사동-42,서울특별시 관악구 신사로26길 8
신사동-43,서울특별시 관악구 신사로26길 8
신사동-44,서울특별시 관악구 조원로31길 11
신사동-45,서울특별시 관악구 조원로31길 32
신사동-46,서울특별시 관악구 조원로31길 7
신원동-1,서울특별시 관악구 남부순환로160길 13
신원동-2,서울특별시 관악구 남부순환로160길 13
신원동-3,서울특별시 관악구 남부순환로164길 24
신원동-4,서울특별시 관악구 남부순환로166길 59
신원동-5,서울특별시 관악구 남부순환로170길 13
신원동-6,서울특별시 관악구 남부순환로170길 22
신원동-7,서울특별시 관악구 남부순환로172길 1
신원동-8,서울특별시 관악구 남부순환로172길 59-5
신원동-9,서울특별시 관악구 문성로25길 11
신원동-10,서울특별시 관악구 문성로28길 30
신원동-11,서울특별시 관악구 문성로30길 19
신원동-12,서울특별시 관악구 문성로30길 28
신원동-13,서울특별시 관악구 문성로31길 16
신원동-14,서울특별시 관악구 문성로38길 41
신원동-15,서울특별시 관악구 신림로53가길 5
신원동-16,서울특별시 관악구 신림로53길 3
신원동-17,서울특별시 관악구 신원로3길 19-7
신원동-18,서울특별시 관악구 신원로4길 16
신원동-19,서울특별시 관악구 신원로4길 28
신원동-20,서울특별시 관악구 신원로4길 32
인헌동-1,서울특별시 관악구 낙성대역10길 23-8
인헌동-2,서울특별시 관악구 낙성대역10길 39
인헌동-3,서울특별시 관악구 낙성대역14가길 10
인헌동-4,서울특별시 관악구 낙성대역14가길 3
인헌동-5,서울특별시 관악구 낙성대역14길 18
인헌동-6,서울특별시 관악구 낙성대역14길 3
인헌동-7,서울특별시 관악구 낙성대역14길 42
인헌동-8,서울특별시 관악구 낙성대역16길 29
인헌동-9,서울특별시 관악구 낙성대역18길 20
인헌동-10,서울특별시 관악구 낙성대역18길 3
인헌동-11,서울특별시 관악구 낙성대역18길 5
인헌동-12,서울특별시 관악구 낙성대역4길 12-22
인헌동-13,서울특별시 관악구 낙성대역길 24
인헌동-14,서울특별시 관악구 낙성대역길 24
인헌동-15,서울특별시 관악구 낙성대역길 78
인헌동-16,서울특별시 관악구 남부순환로246길 30
인헌동-17,서울특별시 관악구 남부순환로246길 32-19
인헌동-18,서울특별시 관악구 남부순환로246다길 16
인헌동-19,서울특별시 관악구 남부순환로246다길 20
인헌동-20,서울특별시 관악구 남부순환로246다길 30
인헌동-21,서울특별시 관악구 인헌11길 9
인헌동-22,서울특별시 관악구 인헌12길 32
