자치구,안심 주소,CCTV 용도,위도,경도,CCTV 수량,수정 일시,,
관악구,DA083 1-1R 대학동 산28-9,방범,37.46441508,126.9402398,1,2021-09-08,,
관악구,D2036 4-5S 삼성동 306-49,방범,37.46442126,126.9328471,1,2021-09-08,,
관악구,DF021 4-4S 삼성동 808-632,방범,37.46443352,126.9301496,1,2021-09-08,,
관악구,DC019 2-4S 대학동 255-140,방범,37.46443852,126.9366716,1,2021-09-08,,
관악구,DC019 4-4S 대학동 255-140,방범,37.4644708,126.936851,1,2021-09-08,,
관악구,DE031 2-4S 난향동 681-2,방범,37.46448562,126.9190468,1,2021-09-08,,
관악구,J3003 4-4UC 난향동 685-104,방범,37.46448765,126.9178196,1,2021-09-08,,
관악구,J3003 2-4UC 난향동 685-104,방범,37.46451676,126.9179841,1,2021-09-08,,
관악구,A2014 1-1R 샘말공원#02(대학동 산 63-1),방범,37.46455265,126.9380981,1,2021-09-08,,
관악구,DF021 1-4R 삼성동 808-632,방범,37.46455314,126.9301386,1,2021-09-08,,
관악구,DF021 2-4S 삼성동 808-632,방범,37.46456309,126.9302887,1,2021-09-08,,
관악구,J3003 1-4R 난향동 685-104,방범,37.46456947,126.9178741,1,2021-09-08,,
관악구,DE031 1-4R 난향동 681-2,방범,37.46458489,126.9190155,1,2021-09-08,,
관악구,DG070 4-4S 대학동 254-106,방범,37.46458728,126.9359262,1,2021-09-08,,
관악구,DE031 4-4S 난향동 681-2,방범,37.46459361,126.9189496,1,2021-09-08,,
관악구,D2038 2-4UC 삼성동 307-5,방범,37.46460529,126.9315415,1,2021-09-08,,
관악구,DG070 1-4R 대학동 254-106,방범,37.46465285,126.9359516,1,2021-09-08,,
관악구,J3003 3-4UC 난향동 685-104,방범,37.46465593,126.9179381,1,2021-09-08,,
관악구,DE031 3-4S 난향동 681-2,방범,37.46466378,126.9190722,1,2021-09-08,,
관악구,DG070 2-4S 대학동 254-106,방범,37.46467427,126.9358783,1,2021-09-08,,
관악구,D2038 3-4UC 삼성동 307-5,방범,37.46467436,126.9314308,1,2021-09-08,,
관악구,DF021 3-4S 삼성동 808-632,방범,37.46468139,126.9301246,1,2021-09-08,,
관악구,T8005 2-2S 삼성동 306-32와 306-72 (306-32코너),방범,37.4646863,126.9332469,1,2021-09-08,,
관악구,DG070 3-4S 대학동 254-106,방범,37.46469579,126.9360069,1,2021-09-08,,
관악구,D2038 1-4RXXC 삼성동 307-5,방범,37.46469588,126.9315369,1,2021-09-08,,
관악구,AF007 1-1R 삼성동 산 86-6 (관악도시농업공원),방범,37.46473257,126.9275901,1,2021-09-08,,
관악구,D3017 4-4S 대학동 251-214,방범,37.46474039,126.9399304,1,2021-09-08,,
관악구,D3017 3-4S 대학동 251-214,방범,37.46474123,126.93983,1,2021-09-08,,
관악구,DD023 2-5S 대학동 251-122,방범,37.46476197,126.9389931,1,2021-09-08,,
관악구,D2038 4-4UC 삼성동 307-5,방범,37.46477932,126.9315353,1,2021-09-08,,
관악구,T8005 1-2S 삼성동 306-32와 306-72 (306-32코너),방범,37.46478105,126.9332356,1,2021-09-08,,
관악구,DD023 3-5S 대학동 251-122,방범,37.46478302,126.9390853,1,2021-09-08,,
관악구,D3017 1-4R 대학동 251-214,방범,37.46480204,126.9398709,1,2021-09-08,,
관악구,DD023 1-5R 대학동 251-122,방범,37.46480274,126.939025,1,2021-09-08,,
관악구,CB014 3-3SC 삼성동 1704-4, 명성유치원,방범,37.4648029,126.9267271,1,2021-09-08,
관악구,DD023 4-5S 대학동 251-122,방범,37.46482145,126.9389638,1,2021-09-08,,
관악구,DD023 5-5S 대학동 251-122,방범,37.464839,126.9390633,1,2021-09-08,,
관악구,D3017 2-4S 대학동 251-214,방범,37.46485252,126.9398108,1,2021-09-08,,
관악구,CB014 1-3RX 삼성동 1704-4, 명성유치원,방범,37.46485744,126.9267517,1,2021-09-08,
관악구,J3007 4-4UC 삼성동 306-108,방범,37.4648828,126.9323875,1,2021-09-08,,
관악구,CB014 2-3SC 삼성동 1704-4, 명성유치원,방범,37.46492093,126.9267797,1,2021-09-08,
관악구,J3007 1-4R 삼성동 306-108,방범,37.4649816,126.9323812,1,2021-09-08,,
관악구,J3007 2-4U 삼성동 306-108,방범,37.46499194,126.9325254,1,2021-09-08,,
관악구,A2013 1-1R 샘말공원#01(대학동 산 63-1),방범,37.46499971,126.938472,1,2021-09-08,,
관악구,A0011 1-1R 합실어린이공원 (삼성동 1704-4),방범,37.4650273,126.9272175,1,2021-09-08,,
관악구,A0010 1-1R 합실어린이공원 (삼성동 1704-4),방범,37.46508382,126.9268657,1,2021-09-08,,
관악구,J3007 3-4UC 삼성동 306-108,방범,37.46509019,126.9323727,1,2021-09-08,,
관악구,DE032 2-3S 난곡동 666-14,방범,37.46511283,126.91964,1,2021-09-08,,
관악구,DB063 1-1R 삼성동 306,방범,37.46512371,126.9318317,1,2021-09-08,,
관악구,DE032 1-3R 난곡동 666-14,방범,37.46513794,126.9196942,1,2021-09-08,,
관악구,NB010 3-3S 난향동 681-15, 신림종합복지관 건너편 부근,방범,37.4651476,126.9194548,1,2021-09-08,
관악구,DE032 3-3S 난곡동 666-14,방범,37.46516652,126.9197636,1,2021-09-08,,
관악구,AC007 1-1R 동네뒷산공원(난곡동 661-62),방범,37.46520229,126.9208191,1,2021-09-08,,
관악구,AF016 1-1R 신림 68-4 (산책로입구 보신탕집),방범,37.46522236,126.9337287,1,2021-09-08,,
관악구,JA024 4-4UC 삼성동 323-1,방범,37.46522371,126.9300654,1,2021-09-08,,
관악구,D3020 1-2R 대학동 251-149,방범,37.46524516,126.9382969,1,2021-09-08,,
관악구,D3019 1-1RL 대학동 254-20,방범,37.46524859,126.9350204,1,2021-09-08,,
관악구,NB010 1-3RXXC 난향동 681-15, 신림종합복지관 건너편 부근,방범,37.46525492,126.919513,1,2021-09-08,
관악구,JA024 1-4R 삼성동 323-1,방범,37.46526724,126.9300761,1,2021-09-08,,
관악구,D3020 2-2UC 대학동 251-149,방범,37.46527375,126.9382654,1,2021-09-08,,
관악구,JA024 3-4UC 삼성동 323-1,방범,37.46528896,126.9300146,1,2021-09-08,,
관악구,DA066 1-3S 난향동 685-49,방범,37.46529057,126.9187763,1,2021-09-08,,
관악구,JA024 2-4UC 삼성동 323-1,방범,37.46531387,126.9300887,1,2021-09-08,,
관악구,DA066 2-3S 난향동 685-49,방범,37.4653246,126.918857,1,2021-09-08,,
