의류수거함,address,ID,lat,lng
미성동-16,서울특별시 관악구 난곡로63가길 21,240,37.4766954,126.9548079
미성동-17,서울특별시 관악구 난곡로63길 51,241,37.4766954,126.9548079
미성동-18,서울특별시 관악구 난곡로63길 65,242,37.4766954,126.9548079
미성동-19,서울특별시 관악구 난곡로63길 67-3,243,37.4766954,126.9548079
미성동-20,서울특별시 관악구 난곡로64가길 28,244,37.4766954,126.9548079
미성동-21,서울특별시 관악구 난곡로64가길 4,245,37.4766954,126.9548079
미성동-22,서울특별시 관악구 난곡로64길 55,246,37.4766954,126.9548079
미성동-23,서울특별시 관악구 난우10길 18,247,37.4766954,126.9548079
미성동-24,서울특별시 관악구 난우10길 18,248,37.4766954,126.9548079
미성동-25,서울특별시 관악구 난우10길 32,249,37.4766954,126.9548079
미성동-26,서울특별시 관악구 난우16길 36,250,37.4766954,126.9548079
미성동-27,서울특별시 관악구 난우16길 63-14,251,37.4766954,126.9548079
미성동-28,서울특별시 관악구 난우길 34-16,252,37.4766954,126.9548079
미성동-29,서울특별시 관악구 난우길 45,253,37.4766954,126.9548079
미성동-30,서울특별시 관악구 남부순환로142길 70,254,37.4766954,126.9548079
미성동-31,서울특별시 관악구 남부순환로142길 70,255,37.4766954,126.9548079
미성동-32,서울특별시 관악구 남부순환로142길 70,256,37.4766954,126.9548079
미성동-33,서울특별시 관악구 남부순환로142길 70,257,37.4766954,126.9548079
미성동-34,서울특별시 관악구 남부순환로152가길 34,258,37.4766954,126.9548079
미성동-35,서울특별시 관악구 남부순환로152길 23,259,37.4766954,126.9548079
미성동-36,서울특별시 관악구 남부순환로152길 60,260,37.4766954,126.9548079
미성동-37,서울특별시 관악구 남부순환로154길 36,261,37.4766954,126.9548079
미성동-38,서울특별시 관악구 남부순환로154길 46,262,37.4766954,126.9548079
미성동-39,서울특별시 관악구 문성로16길 13,263,37.4766954,126.9548079
미성동-40,서울특별시 관악구 문성로16길 45,264,37.4766954,126.9548079
미성동-41,서울특별시 관악구 문성로16길 45,265,37.4766954,126.9548079
미성동-42,서울특별시 관악구 문성로16나길 21,266,37.4766954,126.9548079
미성동-43,서울특별시 관악구 문성로16다길 76,267,37.4766954,126.9548079
미성동-44,서울특별시 관악구 문성로16다길 76,268,37.4766954,126.9548079
미성동-45,서울특별시 관악구 미성3길 38,269,37.4766954,126.9548079
미성동-46,서울특별시 관악구 미성3길 40,270,37.4766954,126.9548079
미성동-47,서울특별시 관악구 미성5길 18,271,37.4766954,126.9548079
미성동-48,서울특별시 관악구 미성5길 18,272,37.4766954,126.9548079
미성동-49,서울특별시 관악구 미성5길 20-9,273,37.4766954,126.9548079
미성동-50,서울특별시 관악구 미성5길 30,274,37.4766954,126.9548079
미성동-51,서울특별시 관악구 미성8길 28,275,37.4766954,126.9548079
미성동-52,서울특별시 관악구 미성8길 3-20,276,37.4766954,126.9548079
미성동-53,서울특별시 관악구 미성8길 3-20,277,37.4766954,126.9548079
미성동-54,서울특별시 관악구 미성길 122 정문,278,37.4766954,126.9548079
미성동-55,서울특별시 관악구 미성길 34,279,37.4766954,126.9548079
미성동-56,서울특별시 관악구 미성길 34,280,37.4766954,126.9548079
미성동-57,서울특별시 관악구 미성길 48,281,37.4766954,126.9548079
미성동-58,서울특별시 관악구 미성길 50,282,37.4766954,126.9548079
미성동-59,서울특별시 관악구 미성길 64,283,37.4766954,126.9548079
미성동-60,서울특별시 관악구 미성길 64,284,37.4766954,126.9548079
미성동-61,서울특별시 관악구 법원단지3길 24,285,37.4766954,126.9548079
미성동-62,서울특별시 관악구 법원단지3길 34,286,37.4766954,126.9548079
미성동-63,서울특별시 관악구 법원단지5가길 10,287,37.4766954,126.9548079
미성동-64,서울특별시 관악구 법원단지5가길 28,288,37.4766954,126.9548079
미성동-65,서울특별시 관악구 법원단지5길 17,289,37.4766954,126.9548079
미성동-66,서울특별시 관악구 법원단지5길 64,290,37.4766954,126.9548079
미성동-67,서울특별시 관악구 법원단지5길 69,291,37.4766954,126.9548079
미성동-68,서울특별시 관악구 법원단지5나길 45,292,37.4766954,126.9548079
미성동-69,서울특별시 관악구 법원단지5나길 66,293,37.4766954,126.9548079
미성동-70,서울특별시 관악구 법원단지5나길 7,294,37.4766954,126.9548079
미성동-71,서울특별시 관악구 법원단지5다길 26,295,37.4766954,126.9548079
미성동-72,서울특별시 관악구 법원단지5라길 26,296,37.4766954,126.9548079
미성동-73,서울특별시 관악구 법원단지5라길 26,297,37.4766954,126.9548079
미성동-74,서울특별시 관악구 법원단지5라길 31,298,37.4766954,126.9548079
삼성동-1,서울특별시 관악구 동마길 10,299,37.4766954,126.9548079
삼성동-2,서울특별시 관악구 성림길 7,300,37.4766954,126.9548079
삼성동-3,서울특별시 관악구 신림로29길 3-13,301,37.4766954,126.9548079
삼성동-4,서울특별시 관악구 신우길 3 옆,302,37.4766954,126.9548079
삼성동-5,서울특별시 관악구 약수암길 11,303,37.4766954,126.9548079
삼성동-6,서울특별시 관악구 약수암길 13-1,304,37.4766954,126.9548079
삼성동-7,서울특별시 관악구 약수암길 23,305,37.4766954,126.9548079
삼성동-8,서울특별시 관악구 양산길 11,306,37.4766954,126.9548079
삼성동-9,서울특별시 관악구 양산길 33,307,37.4766954,126.9548079
삼성동-10,서울특별시 관악구 양지10길 15-1,308,37.4766954,126.9548079
삼성동-11,서울특별시 관악구 양지10길 2-1,309,37.4766954,126.9548079
삼성동-12,서울특별시 관악구 양지12길 8,310,37.4766954,126.9548079
삼성동-13,서울특별시 관악구 양지길 41,311,37.4766954,126.9548079
삼성동-14,서울특별시 관악구 양지길 49,312,37.4766954,126.9548079
삼성동-15,서울특별시 관악구 양지길 58,313,37.4766954,126.9548079
삼성동-16,서울특별시 관악구 양지길 76,314,37.4766954,126.9548079
삼성동-17,서울특별시 관악구 양지길 94,315,37.4766954,126.9548079
삼성동-18,서울특별시 관악구 원신길 233 앞,316,37.4766954,126.9548079
삼성동-19,서울특별시 관악구 태흥길 7,317,37.4766954,126.9548079
삼성동-20,서울특별시 관악구 호암로16길 36,318,37.4766954,126.9548079
삼성동-21,서울특별시 관악구 호암로16길 45,319,37.4766954,126.9548079
삼성동-22,서울특별시 관악구 호암로18길 33,320,37.4766954,126.9548079
